,title,point,link,Show,date,genre,streaming_site,summary
35,Shameless,"11,476,600",https://flixpatrol.com//title/shameless/,TV Show,01/09/2011,Comedy,"['amazon', 'prime', 'fandango', 'google', 'hbo', 'itunes', 'netflix']","Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are."
36,How I Met Your Mother,"10,638,800",https://flixpatrol.com//title/how-i-met-your-mother/,TV Show,09/19/2005,Comedy,"['disney', 'google', 'itunes', 'netflix', 'plus']","How I Met Your Mother is an American sitcom that originally aired on CBS from September 19, 2005, to March 31, 2014. The series follows the main character, Ted Mosby, and his group of friends in Manhattan. As a framing device, Ted, in the year 2030, recounts to his son and daughter the events that led to his meeting their mother."
37,Gravity,"10,541,000",https://flixpatrol.com//title/gravity/,Movie,10/04/2013,ScienceFiction,"['hbo', 'itunes']","Dr. Ryan Stone (Sandra Bullock), a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky (George Clooney) in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expance of space…"
38,Modern Family,"10,417,600",https://flixpatrol.com//title/modern-family/,TV Show,09/23/2009,Comedy,"['disney', 'google', 'hbo', 'itunes', 'netflix', 'plus']","The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family."
39,The Vampire Diaries,"10,339,300",https://flixpatrol.com//title/the-vampire-diaries/,TV Show,09/10/2009,Fantasy,"['google', 'hbo', 'itunes', 'netflix']","The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864."
40,Pretty Little Liars,"10,260,600",https://flixpatrol.com//title/pretty-little-liars/,TV Show,06/08/2010,Drama,"['google', 'hbo', 'itunes', 'netflix']","Based on the Pretty Little Liars series of young adult novels by Sara Shepard, the series follows the lives of four girls — Spencer, Hanna, Aria, and Emily — whose clique falls apart after the disappearance of their queen bee, Alison. One year later, they begin receiving messages from someone using the name ""A"" who threatens to expose their secrets — including long-hidden ones they thought only Alison knew."
41,Damages,"9,939,000",https://flixpatrol.com//title/damages/,TV Show,07/24/2007,Drama,[],"Damages is an American legal thriller television series created by the writing and production trio of Daniel Zelman and brothers Glenn and Todd A. Kessler. The plot revolves around the brilliant, ruthless lawyer Patty Hewes and her protégée, recent law school graduate Ellen Parsons. Each season features a major case that Hewes and her firm take on, while also examining a chapter of the complicated relationship between Ellen and Patty. The first two seasons center around the law firm Hewes & Associates. Later seasons center more on Patty and Ellen's relationship as Ellen begins to distance herself from Hewes & Associates and begins an independent career."
42,American Horror Story,"9,641,300",https://flixpatrol.com//title/american-horror-story/,TV Show,10/05/2011,Horror,"['amazon', 'disney', 'google', 'hulu', 'itunes', 'netflix', 'plus']","An anthology horror drama series centering on different characters and locations, including a house with a murderous past, an asylum, a witch coven, a freak show, a hotel, a farmhouse in Roanoke and a cult."
43,Outlander,"9,427,300",https://flixpatrol.com//title/outlander-2014/,TV Show,08/09/2014,Drama,"['amazon', 'fandango', 'google', 'itunes', 'netflix']","The story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives."
44,Glee,"9,408,700",https://flixpatrol.com//title/glee/,TV Show,05/19/2009,Drama,[],"Glee is an American teen musical comedy-drama television series that airs on the Fox network in the United States. It focuses on the reconstituted William McKinley High School glee club, New Directions, which competes on the show choir competition circuit while its disparate members deal with relationships, sexuality, social issues, and learning to become an effective team."
45,The Originals,"9,346,600",https://flixpatrol.com//title/the-originals/,TV Show,10/03/2013,Fantasy,"['google', 'hbo', 'itunes', 'netflix']","A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. Every King needs an heir says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf."
46,The Fresh Prince of Bel-Air,"9,067,500",https://flixpatrol.com//title/the-fresh-prince-of-bel-air/,TV Show,09/10/1990,Comedy,"['google', 'hbo', 'netflix']","The Fresh Prince of Bel-Air is an American television sitcom that originally aired on NBC from September 10, 1990, to May 20, 1996. The show stars Will Smith as a fictionalized version of himself, a street-smart teenager from West Philadelphia who is sent to move in with his aunt and uncle in their wealthy Bel Air mansion, where his lifestyle often clashes with that of his relatives. The 148 episodes were broadcast over six seasons."
47,Firefly,"8,998,900",https://flixpatrol.com//title/firefly/,TV Show,09/20/2002,ScienceFiction,"['google', 'itunes']","Firefly is set in the year 2517, after the arrival of humans in a new star system and follows the adventures of the renegade crew of Serenity, a ""Firefly-class"" spaceship. The ensemble cast portrays the nine characters who live on Serenity."
48,13 Reasons Why,"8,827,500",https://flixpatrol.com//title/13-reasons-why/,TV Show,03/31/2017,Drama,['netflix'],"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
49,Dexter,"8,800,700",https://flixpatrol.com//title/dexter/,TV Show,10/01/2006,Crime,"['prime', 'hbo', 'hulu', 'itunes']","Dexter is an American television drama series. The series centers on Dexter Morgan, a blood spatter pattern analyst for 'Miami Metro Police Department' who also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice."
50,Blade,"8,681,400",https://flixpatrol.com//franchise/blade/,Franchise,1998 – 2004,Superhero,[],"STARRING
Wesley Snipes, Kris Kristofferson, Stephen Dorff, Dominic Purcell, Leonor Varela


DIRECTED BY
David S. Goyer, Guillermo del Toro, Stephen Norrington"
51,The Flash,"8,600,900",https://flixpatrol.com//title/the-flash-2014/,TV Show,10/07/2014,Superhero,"['prime', 'fandango', 'google', 'hbo', 'itunes', 'netflix']","After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only meta-human who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash."
52,Sherlock,"8,566,200",https://flixpatrol.com//title/sherlock/,TV Show,07/25/2010,Crime,"['google', 'netflix']",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
53,The Fault in Our Stars,"8,250,500",https://flixpatrol.com//title/the-fault-in-our-stars/,Movie,05/16/2014,Romance,"['disney', 'google', 'itunes']","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten."
54,Orange Is the New Black,"7,762,300",https://flixpatrol.com//title/orange-is-the-new-black/,TV Show,07/11/2013,Drama,"['google', 'itunes', 'netflix']","A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates."
55,Sex and the City,"7,684,300",https://flixpatrol.com//title/sex-and-the-city-1998/,TV Show,06/06/1998,Fashion,"['google', 'hbo', 'itunes']","Based on the bestselling book by Candace Bushnell, Sex and the City tells the story of four best friends, all single and in their late thirties, as they pursue their careers and talk about their sex lives, all while trying to survive the New York social scene."
56,Sex and the City,"7,684,300",https://flixpatrol.com//title/sex-and-the-city-1998/,Franchise,1998 – 2010,Comedy,[],"STARRING
Sarah Jessica Parker, Cynthia Nixon, Kim Cattrall


DIRECTED BY
Michael Patrick King"
57,Sex and the City,"534,800",https://flixpatrol.com//franchise/sex-and-the-city/,TV Show,06/06/1998,Fashion,"['google', 'hbo', 'itunes']","Based on the bestselling book by Candace Bushnell, Sex and the City tells the story of four best friends, all single and in their late thirties, as they pursue their careers and talk about their sex lives, all while trying to survive the New York social scene."
58,Sex and the City,"534,800",https://flixpatrol.com//franchise/sex-and-the-city/,Franchise,1998 – 2010,Comedy,[],"STARRING
Sarah Jessica Parker, Cynthia Nixon, Kim Cattrall


DIRECTED BY
Michael Patrick King"
59,Archer,"7,587,700",https://flixpatrol.com//title/archer-2009/,TV Show,09/17/2009,Action,"['amazon', 'google', 'hulu', 'itunes', 'netflix']","Sterling Archer is the world's most daunting spy. He works for ISIS, a spy agency run by his mother. In between dealing with his boss and his co-workers - one of whom is his ex-girlfriend - Archer manages to annoy or seduce everyone that crosses his path. His antics are only excusable because at the end of the day, he still somehow always manages to thwart whatever crises was threatening mankind."
60,Peaky Blinders,"7,518,400",https://flixpatrol.com//title/peaky-blinders/,TV Show,09/12/2013,Drama,"['google', 'netflix']","A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world."
