,title,point,link,Show,date,genre,streaming_site,summary
101,24,"3,683,100",https://flixpatrol.com//title/24/,TV Show,11/06/2001,Action,"['google', 'itunes', 'netflix', 'plus']","24 is an American television series produced for the Fox network and syndicated worldwide, starring Kiefer Sutherland as Counter Terrorist Unit agent Jack Bauer. Each 24-episode season covers 24 hours in the life of Bauer, using the real time method of narration."
102,Gotham,"3,483,600",https://flixpatrol.com//title/gotham/,TV Show,09/22/2014,Superhero,"['google', 'hbo', 'itunes', 'netflix']","Before there was Batman, there was GOTHAM.   Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?"
103,The Handmaid's Tale,"3,482,000",https://flixpatrol.com//title/the-handmaids-tale/,TV Show,04/26/2017,Drama,"['amazon', 'prime', 'google', 'hbo', 'itunes']","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship. A TV adaptation of Margaret Atwood's novel."
104,Interstellar,"3,434,600",https://flixpatrol.com//title/interstellar/,Movie,11/05/2014,ScienceFiction,"['amazon', 'prime', 'google', 'hbo', 'itunes', 'netflix', 'plus']",Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
105,The Sopranos,"3,279,000",https://flixpatrol.com//title/the-sopranos/,TV Show,01/10/1999,Drama,"['amazon', 'google', 'hbo', 'itunes']","The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti."
106,Bohemian Rhapsody,"3,223,500",https://flixpatrol.com//title/bohemian-rhapsody/,Movie,10/24/2018,Biopic,"['amazon', 'google', 'hbo', 'itunes', 'netflix', 'plus']","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs like Killer Queen"
107,Shazam!,"3,219,600",https://flixpatrol.com//franchise/shazam/,Franchise,2019 – 2022,Superhero,[],Collection that groups the Shazam! movies
108,Ready Player One,"3,038,900",https://flixpatrol.com//title/ready-player-one/,Movie,03/28/2018,ScienceFiction,"['amazon', 'google', 'hbo', 'itunes', 'netflix']","When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune."
109,Superman,"3,018,600",https://flixpatrol.com//franchise/superman/,Franchise,1978 – 1987,Superhero,[],"This collection includes the original superhero film series of the DC Comics character Superman starring Christopher Reeve and the fifth and final instalment, Superman Returns, from 2006. The series is centred on Clark Kent, a Kryptonian from the planet Krypton whose birth name is Kal-El. Superman resides in the city of Metropolis, where he works as a journalist for the Daily Planet, a newspaper."
110,Wonder Woman,"2,951,300",https://flixpatrol.com//franchise/wonder-woman/,Franchise,2017 – 2020,Superhero,[],A Film series based on the DC Comics superhero Wonder Woman.
111,Ratatouille,"2,853,100",https://flixpatrol.com//title/ratatouille/,Movie,06/28/2007,Animated,"['disney', 'google', 'hbo', 'itunes']","In one of Paris finest restaurants, Remy, a determined young rat, dreams of becoming a renowned French chef. Torn between his familys wishes and his true calling. Remy and his pal Linguini set in motion a hilarious chain of events that turns the City of Lights upside down."
112,Mickey Mouse,"2,835,800",https://flixpatrol.com//franchise/mickey-mouse/,Franchise,1928 – 2017,Animated,[],"STARRING
Walt Disney, Wayne Allwine, Tony Anselmo, Clarence Nash, Russi Taylor, Pinto Colvig, Bill Farmer


DIRECTED BY
Walt Disney, Burny Mattinson, Wilfred Jackson, Bradley Raymond, Toby Shelton, Charles A. Nichols, Jun Falkenstein"
113,Madagascar,"2,799,500",https://flixpatrol.com//franchise/madagascar/,Franchise,2005 – 2017,Animated,[],"Madagascar is an animated film series produced by DreamWorks Animation. Voices of Ben Stiller, Jada Pinkett Smith, Chris Rock and David Schwimmer are featured in the films. The plot follows the adventures of story of four Central Park Zoo animals who have spent their lives in blissful captivity and are unexpectedly shipped back to Africa."
114,Smallville,"2,772,600",https://flixpatrol.com//title/smallville/,TV Show,10/16/2001,Superhero,"['google', 'hbo', 'itunes']",The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.
115,Mad Men,"2,739,800",https://flixpatrol.com//title/mad-men/,TV Show,07/19/2007,Drama,"['amazon', 'google', 'itunes']","Mad Men is set in the 1960s, initially at the fictional Sterling Cooper advertising agency on Madison Avenue in New York City, and later at the newly created firm, Sterling Cooper Draper Pryce, located nearby in the Time-Life Building, at 1271 Avenue of the Americas. According to the show's pilot, the phrase ""mad men"" was a slang term coined in the 1950s by advertisers working on Madison Avenue to refer to themselves. The focal point of the series is Don Draper, creative director at Sterling Cooper and a founding partner at Sterling Cooper Draper Pryce, and the people in his life, both in and out of the office. The plot focuses on the business of the agencies as well as the personal lives of the characters, regularly depicting the changing moods and social mores of the United States in the 1960s."
116,Inside Out,"2,732,400",https://flixpatrol.com//title/inside-out/,Movie,06/19/2015,Animated,"['disney', 'google', 'hbo', 'itunes']","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school."
117,Minions,"2,671,400",https://flixpatrol.com//franchise/minions/,Franchise,2015 – 2021,2015–2021,[],"Despicable Me spin-off series, focusing on the Minions characters."
118,Pokémon,"2,577,400",https://flixpatrol.com//franchise/pokemon/,Franchise,1998 – 2019,Animated,[],Collection of movies released as part of the Pokémon anime original series.
119,Better Call Saul,"2,576,700",https://flixpatrol.com//title/better-call-saul/,TV Show,02/08/2015,Crime,"['amazon', 'fandango', 'google', 'itunes', 'netflix']","Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Erhmantraut. The series will track Jimmy's transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer."
120,Alien,"2,561,800",https://flixpatrol.com//franchise/alien/,Franchise,1979 – 2017,ScienceFiction,[],"A science fiction horror film franchise, focusing on Lieutenant Ellen Ripley (Sigourney Weaver) and her battle with an extraterrestrial life-form, commonly referred to as the Alien. Produced by 20th Century Fox, the series started with the 1979 film Alien, then Aliens in 1986, Alien3 in 1992, and Alien: Resurrection in 1997."
121,Scream,"2,551,600",https://flixpatrol.com//franchise/scream/,Franchise,1996 – 2011,Horror,[],"The collection of theatrical films by Wes Craven, that almost completely re-wrote the slasher genre and brought it back into mainstream cinema. Included here are all 4 Scream movies from the first one that released in 1996 to the newest installment that released in 2011"
122,Step Up,"2,537,200",https://flixpatrol.com//franchise/step-up/,Franchise,2006 – 2019,Romance,[],The Step Up films are a series of danceromance-drama films created by Duane Adler.
123,Rocky,"2,495,500",https://flixpatrol.com//franchise/rocky/,Franchise,1976 – 2018,Drama,[],"These sport drama films begin by telling the rags to riches American Dream story of Rocky Balboa, an uneducated but kind-hearted working class Italian-American boxer working as a debt collector for a loan shark in the slums of Philadelphia."
124,True Detective,"2,484,900",https://flixpatrol.com//title/true-detective/,TV Show,01/12/2014,Crime,"['google', 'hbo', 'itunes']","An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law."
125,Blue Bloods,"2,475,200",https://flixpatrol.com//title/blue-bloods/,TV Show,09/24/2010,Crime,"['amazon', 'fandango', 'hulu', 'itunes', 'plus']","A drama about a multi-generational family of cops dedicated to New York City law enforcement. Frank Reagan is the New York Police Commissioner and heads both the police force and the Reagan brood. He runs his department as diplomatically as he runs his family, even when dealing with the politics that plagued his unapologetically bold father, Henry, during his stint as Chief."
126,Agents of S.H.I.E.L.D.,"2,448,200",https://flixpatrol.com//title/agents-of-shield/,TV Show,09/24/2013,Superhero,"['disney', 'google', 'itunes', 'netflix']","Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary."
127,Iron Man,"2,442,500",https://flixpatrol.com//franchise/iron-man/,Franchise,2008 – 2013,Superhero,[],"STARRING
Robert Downey Jr., Gwyneth Paltrow, Jeff Bridges, Don Cheadle, Terrence Howard, Guy Pearce


DIRECTED BY
Jon Favreau, Shane Black"
128,Deception,"2,405,300",https://flixpatrol.com//title/deception-2018/,TV Show,03/11/2018,03/11/2018,['itunes'],"Cameron Black is the world's greatest illusionist. At least, that's what people used to call him—before his greatest secret was exposed and his career destroyed. Even worse, Cameron has good reason to believe this was no accident."
129,The Dark Knight,"2,395,900",https://flixpatrol.com//title/the-dark-knight/,Movie,07/16/2008,DC,"['prime', 'google', 'hbo', 'itunes', 'netflix']","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
130,Westworld,"2,324,000",https://flixpatrol.com//title/westworld-2016/,TV Show,10/02/2016,ScienceFiction,"['google', 'hbo', 'itunes']","A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged."
131,Narcos,"2,276,000",https://flixpatrol.com//title/narcos/,TV Show,08/28/2015,Drama,['netflix'],A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.
132,Alice in Wonderland,"2,264,300",https://flixpatrol.com//title/alice-in-wonderland/,Movie,03/03/2010,FantasyAdventure,"['hbo', 'itunes']","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne."
133,Alice in Wonderland,"2,264,300",https://flixpatrol.com//title/alice-in-wonderland/,Franchise,2010 – 2016,2010–2016,[],"Alice in Wonderland is a 2010 American fantasy film directed by Tim Burton from a screenplay written by Linda Woolverton. The film stars Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover, Matt Lucas and Mia Wasikowska and features the voices of Alan Rickman, Stephen Fry, Michael Sheen and Timothy Spall. Based on Lewis Carrolls fantasy novels and inspired by Walt Disneys 1951 animated film of the same name. A sequel, Alice Through the Looking Glass was released in 2016."
134,Alice in Wonderland,"1,852,000",https://flixpatrol.com//franchise/alice-in-wonderland/,Movie,03/03/2010,FantasyAdventure,"['hbo', 'itunes']","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne."
135,Alice in Wonderland,"1,852,000",https://flixpatrol.com//franchise/alice-in-wonderland/,Franchise,2010 – 2016,2010–2016,[],"Alice in Wonderland is a 2010 American fantasy film directed by Tim Burton from a screenplay written by Linda Woolverton. The film stars Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover, Matt Lucas and Mia Wasikowska and features the voices of Alan Rickman, Stephen Fry, Michael Sheen and Timothy Spall. Based on Lewis Carrolls fantasy novels and inspired by Walt Disneys 1951 animated film of the same name. A sequel, Alice Through the Looking Glass was released in 2016."
136,SpongeBob,"2,233,500",https://flixpatrol.com//franchise/spongebob/,Franchise,1999 – 2020,Animated,[],"A yellow sea sponge named SpongeBob SquarePants, who enjoys being a cook at Krusty Krab, lives in the Pacific Ocean. He embarks on various adventures with his friends at Bikini Bottom."
137,Grimm,"2,189,600",https://flixpatrol.com//title/grimm/,TV Show,10/28/2011,Fantasy,"['google', 'itunes']","After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm."
138,Scrubs,"2,118,400",https://flixpatrol.com//title/scrubs/,TV Show,10/02/2001,Comedy,"['disney', 'google', 'itunes']","In the unreal world of Sacred Heart Hospital, John ""J.D"" Dorian learns the ways of medicine, friendship and life."
139,Fast and Furious,"2,070,600",https://flixpatrol.com//franchise/fast-and-furious/,Franchise,2001 – 2021,Action,[],An action film series centered on illegal street racing and heists.
140,His Dark Materials,"2,053,200",https://flixpatrol.com//title/his-dark-materials/,TV Show,11/03/2019,Fantasy,"['google', 'hbo', 'itunes']","Lyra is an orphan who lives in a parallel universe in which science, theology and magic are entwined. Lyra's search for a kidnapped friend uncovers a sinister plot involving stolen children, and turns into a quest to understand a mysterious phenomenon called Dust. She is later joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As Lyra learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds."
141,Supergirl,"2,039,300",https://flixpatrol.com//title/supergirl-2015/,TV Show,10/26/2015,Superhero,"['amazon', 'prime', 'google', 'hbo', 'itunes', 'netflix']","Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism."
142,Hannibal,"1,983,900",https://flixpatrol.com//title/hannibal-2013/,TV Show,04/04/2013,Crime,"['google', 'itunes', 'netflix']","Both a gift and a curse, Graham has the extraordinary ability to think like his prey—he sees what they see, feels what they feel. But while Graham is pursuing an especially troubling, cannibalistic murderer, Special Agent Jack Crawford teams him with a highly respected psychiatrist – a man with a taste for the criminal minded – Dr. Hannibal Lecter."
143,Mamma Mia!,"1,872,100",https://flixpatrol.com//franchise/mamma-mia/,Franchise,2008 – 2018,2008–2018,[],"A series of jukebox musical romantic comedy films based on the 1999 musical of the same name, which itself is based on the songs of pop group ABBA."
144,Book Club,"1,858,000",https://flixpatrol.com//title/book-club/,Movie,05/18/2018,Comedy,"['itunes', 'netflix']",Four lifelong friends have their lives forever changed after reading Fifty Shades of Grey in their monthly book club.
145,True Blood,"1,853,600",https://flixpatrol.com//title/true-blood-2008/,TV Show,09/07/2008,Fantasy,"['google', 'hbo', 'itunes']","True Blood is an American television drama series created and produced by Alan Ball. It is based on The Southern Vampire Mysteries series of novels by Charlaine Harris, detailing the co-existence of vampires and humans in Bon Temps, a fictional, small town in northwestern Louisiana. The series centers on the adventures of Sookie Stackhouse, a telepathic waitress with an otherworldly quality."
146,Oz,"1,830,700",https://flixpatrol.com//title/oz/,TV Show,07/12/1997,Drama,[],"The daily lives of prisoners in Emerald City, an experimental unit of the Oswald Maximum Security Prison where ingroups - Muslims, Latinos, Italians, Aryans - stick close to their mutual friends and terrorizes their mutual enemies."
147,Godfather,"1,811,700",https://flixpatrol.com//franchise/godfather/,Franchise,1972 – 1990,Drama,[],Francis Ford Coppola’s trilogy films about the everyday life of a New York mafia family. With its star-studded cast these films would go down in history as some of the greatest Hollywood has ever produced.
148,Homeland,"1,744,000",https://flixpatrol.com//title/homeland/,TV Show,10/02/2011,Drama,"['google', 'itunes', 'netflix']","CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn."
149,Friday the 13th,"1,741,900",https://flixpatrol.com//franchise/friday-the-13th/,Franchise,1980 – 2009,Horror,[],"Friday the 13th is an American horror slasher franchise created by Victor Miller and Sean Cunningham. Set largely around the fictional small town of Crystal Lake, New Jersey, it tells the story of serial murderer Jason Voorhees, and others who would kill on his behalf and in his name. Neglected and bullied as a young boy, Jason is believed to have drowned at Camp Crystal Lake while the counselors responsible for his well-being were off making love, but decades later he returns to the camp with bloody vengeance as his sole motivating factor."
150,Luther,"1,673,400",https://flixpatrol.com//title/luther-2010/,TV Show,05/04/2010,Crime,"['google', 'itunes', 'netflix']","A dark psychological crime drama starring Idris Elba as Luther, a man struggling with his own terrible demons, who might be as dangerous as the depraved murderers he hunts."
151,The Mentalist,"1,582,800",https://flixpatrol.com//title/the-mentalist/,TV Show,09/23/2008,Crime,"['google', 'hbo', 'itunes']","Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at  eading"" people to solve serious crimes with the California Bureau of Investigation."
152,James Bond,"1,553,600",https://flixpatrol.com//franchise/james-bond/,Franchise,1962 – 2021,Action,[],"The James Bond film series is a British series of spy films based on the fictional character of MI6 agent James Bond, codename 007. With all of the action, adventure, gadgetry & film scores that Bond is famous for.  (We do not consider the 1954 release of Casino Royale for this series because it was actually a television episode and not a theatrical film.)"
153,Zootopia,"1,515,100",https://flixpatrol.com//title/zootopia/,Movie,02/11/2016,Animated,"['amazon', 'disney', 'google', 'hbo', 'itunes']","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery."
154,Matrix,"1,506,300",https://flixpatrol.com//franchise/matrix/,Franchise,1999 – 2021,1999–2021,[],The Matrix collection depicts a complex science fiction story incorporating many philosophical elements. Written and directed by the Wachowskis and produced by Joel Silver.
155,The Lion King,"1,483,000",https://flixpatrol.com//franchise/the-lion-king/,Franchise,1994 – 2019,Animation,[],"The film franchise mainly revolves about a pride of lions who oversee a large swath of African savanna as their «kingdom» known as the Pride Lands, with their leader Simba watching over it as «king». In the original film, Simba was tricked into thinking he killed his father, a guilt ridden lion cub flees into exile and abandons his identity as the future King."
156,Banshee,"1,427,200",https://flixpatrol.com//title/banshee/,Movie,06/24/2006,06/24/2006,[],"A kick-ass professional car thief, Sage, (Taryn Manning), steals a classic '66 Charger on a challenge. It turns out the car belongs to a serial killer (is there another kind?), who proceeds to slice and dice her friends because he wants his car back, and wants Sage dead. Sage also deals with treacherous fellow criminals, and a cop who wants her in jail, or wants to start a relationship (he hasn't decided yet)."
157,Armageddon,"1,404,100",https://flixpatrol.com//title/armageddon/,Movie,06/30/1998,ScienceFiction,"['prime', 'disney', 'google', 'itunes']","An asteroid the size of Texas is heading directly toward Earth at 22,000 mph. NASA's executive director, Dan Truman, has only one option - to send up a crew to destroy the asteroid. He enlists the help of Harry S. Stamper - the world's foremost deep core oil driller - and Stamper's roughneck team of drillers to land on the asteroid, drill into its surface, and drop a nuclear device."
158,Twin Peaks,"1,386,700",https://flixpatrol.com//title/twin-peaks/,TV Show,04/08/1990,Crime,"['hbo', 'itunes']",The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.
159,The Newsroom,"1,380,200",https://flixpatrol.com//title/the-newsroom/,TV Show,06/24/2012,Drama,['itunes'],"A behind-the-scenes look at the people who make a nightly cable-news program. Focusing on a network anchor, his new executive producer, the newsroom staff and their boss, the series tracks their quixotic mission to do the news well in the face of corporate and commercial obstacles-not to mention their own personal entanglements."
160,Veep,"1,366,600",https://flixpatrol.com//title/veep/,TV Show,04/22/2012,Comedy,['itunes'],"A look into American politics, revolving around former Senator Selina Meyer who finds being Vice President of the United States is nothing like she expected and everything everyone ever warned her about."
161,Hancock,"1,359,600",https://flixpatrol.com//title/hancock/,Movie,07/01/2008,Superhero,"['hbo', 'itunes', 'netflix']","Hancock is a down-and-out superhero whos forced to employ a PR expert to help repair his image when the public grows weary of all the damage hes inflicted during his lifesaving heroics. The agents idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?"
162,Dunkirk,"1,344,900",https://flixpatrol.com//title/dunkirk/,Movie,07/19/2017,War,"['amazon', 'hbo', 'itunes', 'netflix']","The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II."
163,Phineas and Ferb,"1,344,000",https://flixpatrol.com//title/phineas-and-ferb/,TV Show,08/17/2007,ForBoys,['disney'],"Each day, two kindhearted suburban stepbrothers on summer vacation embark on some grand new project, which annoys their controlling sister, Candace, who tries to bust them. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
164,Phineas and Ferb,"1,344,000",https://flixpatrol.com//title/phineas-and-ferb/,Franchise,2007 – 2013,Animated,[],Feature films based on the animated series.
165,Phineas and Ferb,"157,100",https://flixpatrol.com//franchise/phineas-and-ferb/,TV Show,08/17/2007,ForBoys,['disney'],"Each day, two kindhearted suburban stepbrothers on summer vacation embark on some grand new project, which annoys their controlling sister, Candace, who tries to bust them. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
166,Phineas and Ferb,"157,100",https://flixpatrol.com//franchise/phineas-and-ferb/,Franchise,2007 – 2013,Animated,[],Feature films based on the animated series.
167,Snowpiercer,"1,258,600",https://flixpatrol.com//title/snowpiercer-2020/,TV Show,05/17/2020,ScienceFiction,"['amazon', 'google', 'hbo', 'itunes', 'netflix']","Set more than seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a gigantic, perpetually-moving train that circles the globe as class warfare, social injustice and the politics of survival play out."
168,WALL-E,"1,196,900",https://flixpatrol.com//title/wall-e/,Movie,06/22/2008,Animated,"['hbo', 'itunes']","WALL-E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALLďďż˝ďż˝E thinks hes finally found a friend and stows away on the ship when it leaves."
169,Deadpool,"1,189,000",https://flixpatrol.com//franchise/deadpool/,Franchise,2016 – 2018,Superhero,[],A film series on the anti-superhero of the same name. A funnier and humorous side of X-Men.
170,The Wonder Years,"1,184,100",https://flixpatrol.com//title/the-wonder-years/,TV Show,01/31/1988,Drama,[],"The Wonder Years tells the story of Kevin Arnold (Fred Savage) facing the trials and tribulations of youth while growing up during the 1960s and 70s. Told through narration from an adult Kevin (Daniel Stern), Kevin faces the difficulties of maintaining relationships and friendships on his enthralling journey into adulthood."
171,Misfits,"1,165,400",https://flixpatrol.com//title/misfits-2009/,TV Show,11/12/2009,Superhero,"['google', 'hbo', 'netflix']","When five young outsiders on Community Service get caught in a strange storm, they discover that they have developed superpowers."
172,Smurfs,"1,159,700",https://flixpatrol.com//franchise/smurfs/,Franchise,2011 – 2017,Animated,[],"STARRING
Neil Patrick Harris, Rainn Wilson, Jayma Mays, Demi Lovato


DIRECTED BY
Tom Kapinos, Kelly Asbury"
173,Lord of the Rings,"1,144,400",https://flixpatrol.com//franchise/lord-of-the-rings/,Franchise,2001 – 2003,2001–2003,[],"STARRING
Viggo Mortensen, Ian McKellen, Elijah Wood, Christopher Lee


DIRECTED BY
Peter Jackson"
174,The Reader,"1,097,500",https://flixpatrol.com//title/the-reader/,Movie,12/10/2008,Drama,"['itunes', 'netflix']",The Coen Brothers tell the story of a absurd yet likable family with an unproductive couple as the focal point. The couple has gotten themselves into some trouble while kidnapping a baby and give Hollywood one of the most memorable chase scenes to date.
175,Paw Patrol,"1,086,900",https://flixpatrol.com//franchise/paw-patrol/,Franchise,2013 – 2019,Animated,[],"STARRING
Drew Davis, Chance Hurstfield, Jaxon Mercey, Justin Paul Kelly, Kallan Holley


DIRECTED BY
Charles E. Bastien"
176,Scream Queens,"1,078,600",https://flixpatrol.com//title/scream-queens/,TV Show,09/22/2015,09/22/2015,['plus'],The super-charged comedy-horror series is a modern take on the classic whodunit with a killer cast.
177,ER,"1,071,300",https://flixpatrol.com//title/er/,TV Show,09/19/1994,Drama,"['google', 'hbo', 'itunes']",Explores the inner workings of an urban teaching hospital and the critical issues faced by the dedicated physicians and staff of its overburdened emergency room.
178,CSI: Miami,"1,070,300",https://flixpatrol.com//title/csi-miami/,TV Show,09/23/2002,Crime,['itunes'],"CSI: Miami follows Crime Scene Investigators working for the Miami-Dade Police Department as they use physical evidence, similar to their Las Vegas counterparts, to solve grisly murders. The series mixes deduction, gritty subject matter, and character-driven drama in the same vein as the original series in the CSI franchise, except that the Miami CSIs are cops first, scientists second."
179,The Sixth Sense,"995,900",https://flixpatrol.com//title/the-sixth-sense/,Movie,08/02/1999,Horror,"['amazon', 'google', 'itunes']","A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people."
180,World War Z,"990,700",https://flixpatrol.com//title/world-war-z/,Movie,06/20/2013,Horror,"['amazon', 'prime', 'google', 'hbo', 'hulu', 'itunes', 'netflix', 'plus']","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls."
181,New Girl,"975,700",https://flixpatrol.com//title/new-girl/,TV Show,09/20/2011,09/20/2011,"['disney', 'google', 'itunes', 'netflix', 'plus']","Jessica Day is an offbeat and adorable girl in her late 20s who, after a bad breakup, moves in with three single guys. Goofy, positive, vulnerable and honest to a fault, Jess has faith in people, even when she shouldn't. Although she's dorky and awkward, she's comfortable in her own skin. More prone to friendships with women, she's not used to hanging with the boys—especially at home."
182,Zodiac,"940,900",https://flixpatrol.com//title/zodiac-2007/,Movie,03/01/2007,Crime,"['google', 'hbo', 'itunes', 'netflix']","Based on the actual case files for one of the most intriguing unsolved crimes in America, \Zodiac\ tells the story of a serial killer that terrified the San Francisco Bay Area, taunting police with his ciphers and letters. The case becomes an obsession for four men as their lives and careers are built and destroyed by the endless trail of clues."
183,The Jungle Book,"936,500",https://flixpatrol.com//franchise/the-jungle-book/,Franchise,1967 – 2016,Animated,[],Collection of animated The Jungle Book films from Disney.
184,Thor,"926,100",https://flixpatrol.com//franchise/thor/,Franchise,2011 – 2017,Superhero,[],"A superhero film series based on the comic book character of the same name published by Marvel Comics, and part of the Marvel Cinematic Universe (MCU) film series. The series centers on Thor, the crown prince of Asgard."
185,Little Mermaid,"887,100",https://flixpatrol.com//franchise/little-mermaid/,Franchise,1989 – 2008,Animated,[],"The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. Based on the Danish fairy tale of the same name by Hans Christian Andersen, The Little Mermaid II: Return to the Sea is a direct-to-video sequel to the first film. It was released by Walt Disney Studios Home Entertainment on VHS in the United States on September 19, 2000. The Little Mermaid: Ariels Beginning is a direct-to-video prequel to the first film. The film was released on Region 1 DVD in the United States on August 26, 2008, and on Region 2 DVD in Europe on September 22, 2008."
186,Red Dwarf,"847,400",https://flixpatrol.com//title/red-dwarf/,TV Show,02/15/1988,ScienceFiction,"['google', 'itunes']","The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf."
