rank,title,original,point,days,day_ratio,total
175,King Arthur: Legend of the Sword,no,17,7,2,17
176,Snatch Up,no,17,8,2,17
177,You Should Have Left,no,16,5,3,16
178,News of the World,yes,16,4,4,16
179,Little Forest,no,16,6,3,16
180,High Life,no,13,3,4,13
181,Inside Man,no,13,7,2,13
182,Golden Slumber,no,11,5,2,11
183,Detective Dee The Headless God will,no,10,6,2,10
184,The Prison,no,10,4,2,10
185,Legend,no,9,4,2,9
186,The Concubine,no,8,5,2,8
187,Red Dot,yes,7,5,1,7
188,Metamorphosis,no,5,3,2,5
189,Entebbe,no,5,2,2,5
190,Peninsula,no,5,4,1,5
191,The Tag-Along: Devil Fish,no,5,2,2,5
192,Escape Plan: The Extractors,no,4,2,2,4
193,The Man with the Iron Fists,no,3,1,3,3
194,Pieces of a Woman,yes,3,1,3,3
195,Tom and Jerry: The Movie,no,2,2,1,2
196,The Closet,no,2,1,2,2
197,Hospital,no,2,1,2,2
198,Animals on the Loose: A You vs. Wild Interactive Movie,yes,2,2,1,2
199,Default,no,1,1,1,1
200,Get Out,no,1,1,1,1
201,The Outlaws,no,1,1,1,1
