,id,reviewScore,createDate,reviewContent
12,3369136771,4,2022-02-16T13:28:27.375+0000,다른 영양제를 먹고 있어서 콜라겐도 주문해봤어요~
13,3362739699,5,2022-02-08T12:29:07.409+0000,"포장도 꼼꼼하게 잘해주시고 배송도 빠르고!!
꾸준히 콜라겐 먹어보려구요ㅎㅎ
변화가 있음 좋겠어요😙"
14,3370347807,5,2022-02-18T04:46:47.828+0000,먹고 괜찮아서 선물 했는데 아주 만족 합니다.
15,3372581212,5,2022-02-21T10:30:34.139+0000,감사합니다 잘 받았어요
16,3370350143,5,2022-02-18T04:49:30.274+0000,재구매 하고 좋아서 선물용으로 구매 했어요..
17,3369711133,4,2022-02-17T08:43:20.590+0000,맛있고 좋아요~~아이가 잘 먹어요
18,3369582836,5,2022-02-17T06:08:08.220+0000,"잘먹겠습니다
리뷰가 대체로 좋아서 구입합니다"
19,3360886800,4,2022-02-06T07:11:29.852+0000,생각보다 시큼한 맛이 강하고 특유의 향이 있어서 먹을수록 좀 거부감이 들지만 ㅎㅎ 먹는데는 문제 없습니다!
0,3367269158,5,2022-02-14T06:57:55.895+0000,맛있어요 잘 먹고 있어요 조금 효과 있는듯..
1,3362499219,5,2022-02-08T08:41:16.444+0000,요즘 다이어트로 피부 탄력이 떨어지는것 같아 주문했어요. 효과가 있겠죠!!
2,3371441494,5,2022-02-19T13:45:56.828+0000,"꾸준히먹고있어요
먹기도편하고 좋아요"
3,3365244101,5,2022-02-11T09:30:23.952+0000,저분자콜라겐 엘라스틴같이섭취하니 효과를더빨리보는거같아요  저렴하게구입했어요
4,3366573393,5,2022-02-13T07:02:14.086+0000,리뷰가 좋아서 구매했어요 괜찮으면 또 구매할게요
5,3370988836,5,2022-02-19T02:43:58.807+0000,선물드렸는데 맛있다고하네요
6,3369951613,5,2022-02-17T13:54:25.046+0000,전에 먹어보고 좋아서 재주문 했습니다
